userName,score,content,at,thumbsUpCount
Lalith Laxman,5,good but delivery charges are to high,2026-07-23 12:48:07,0
Om Chatterjee,1,Worst app. Even entering your own residential address is a painful process.,2026-07-23 12:46:26,0
B02Tanzin Kunzang,3,"I it's convenient, easy to get ...yeah",2026-07-23 12:42:29,0
Babai Chatterjee,5,"""Super fast delivery! All items were fresh, properly packed, and delivered in perfect condition. Great service as always.Blinkit has made daily grocery shopping so convenient! Fantastic packaging, high-quality products, and unbelievably quick delivery every single time. 10/10 service... 😊😊",2026-07-23 12:42:11,1
Saiyada Khatoon,5,very excellent app fast delivery must use this app,2026-07-23 12:40:12,0
Demonic Gamer,5,best experience but can't pay with online payment from other UPI in first it was applied but now it hasn't worked since 2 to 3 months ago.. please let service this,2026-07-23 12:39:47,0
Shivam Thapliyal,1,"Extremely disappointed with this order. The Organic Ladyfinger (500 g) came in two 250 g packs, but one entire pack was completely spoiled and had to be thrown away. The Raw Mango (500 g) was the small, round variety with a huge seed and very little pulp, yet the description never mentioned this, making it misleading and poor value for money. The Chopped Spinach contained mostly thick stems instead of spinach leaves, making it feel like the weight was increased by adding sticks than actual.",2026-07-23 12:30:11,0
Swati Kulkarni,5,The service is always good and in time also.,2026-07-23 12:21:02,0
Abhinav Upadrasta,2,the delivery speed is not as stated and quick as zepto and also handling charges are being charged,2026-07-23 12:20:31,0
Ashitosh Kumbhar,5,its verry good app no need to explain too much just open it you will understand everything... ❤️,2026-07-23 12:20:09,0
Prasad Hichkad,5,Will opine after the delivery,2026-07-23 12:19:46,0
Amit Behal,5,easy to use and very helpful 🥰😍,2026-07-23 12:18:07,0
Lucky Singh,5,i. cried 😭at last,2026-07-23 12:13:58,0
Pradeep Sheoran,4,agr refund ya cancellation ka option or hota to or better ho skta hai,2026-07-23 12:13:52,0
Laxmi ben Bariya,5,best ap and fast delivery 🙂,2026-07-23 12:10:04,0
Rukhsar Khanam,5,mujhe achha laga aur delivery boys' bhi bhot achhe se bat karte karte h,2026-07-23 12:04:46,0
Raushan kumar,5,outstanding app,2026-07-23 12:04:17,0
Khan Jamshida Rashid,4,very good service.,2026-07-23 12:02:29,0
Golden Goldy,5,best grocery app ❤️,2026-07-23 12:01:52,0
Anurag Singh,3,product market se bahut jayda high rate hota hai,2026-07-23 11:55:52,0
Sonam Kumari,1,cash dene ke baad extra paise kabhi refund nhi aata hai costly prta hai saman,2026-07-23 11:55:24,2
Samreen Bano,5,amazing experience,2026-07-23 11:51:19,0
Manpreet Kaur,2,they inform after leaving their godown that they have shortage of item so they have cancelled..if they had informed earlier I wud have ordered another or replace my items,2026-07-23 11:48:53,0
Namrata Moradiya,1,"This app is not good, I ordered it first. I paid online then and then I cancelled it, but it's been four months since I got my 200 rupees, they still haven't refunded the money, they only make false promises.",2026-07-23 11:47:17,1
NAIM RAZA KHAN,5,"Reliable, Fast and on time Delivery.. Love it",2026-07-23 11:44:39,0
Deepika reddy,5,delivery fast and good it by using,2026-07-23 11:43:32,0
Kathiravan Ramalingam,5,very nice nice quality,2026-07-23 11:43:02,0
Aditya Kumar,4,very good for a lazy person,2026-07-23 11:40:29,0
Chan Onjo,5,Bhai mere city(bulandshahr) me aajaaaaa,2026-07-23 11:39:56,0
AQuiB Manzoor,1,"A new Scam by Blinkit, ordered few items and two items were missing, have been trying to contact them but shows were are handling large order try again next time until the complaint window closes. so now it shows cannot entertain your complaint as the complaint window is closed. this is how they scam people now.. pathetic theif",2026-07-23 11:32:54,0
Aarti Mazire,1,two delivery patners for one order I had to waste my time to wait for both when I ordered both the things at same time,2026-07-23 11:31:38,0
Madhu obhrai,4,Quick service . Just see the veg n fruits are not over ripe . Thanx 🌻,2026-07-23 11:30:33,0
Dushyant Varshney,5,"Wonderful home deliveries! Blinkit is like Aladdin’s magic lamp—just rub it, and whatever you need magically appears at your doorstep! 😄✨",2026-07-23 11:22:57,0
Anwar Hussain,4,It was a quick delivery. Thanks to Mr. Rohit☺️,2026-07-23 11:19:54,0
