source,raw_text
trustpilot,"Pushkar Corporate
Feb 8, 2026

I ordered Oneplus earphones from Blinkit and the product I received was absolutely NOT original. It was used. I tried contacting customer service multiple times, and after a lot of struggle, one... See more

Useful
Share"
trustpilot,"Rc Pandey
Aug 28, 2025

I have ordered from blinkit Real Tamato juice 1Ltr and Real Orrange juice 1 ltr on 27.8.25 at 11.15 hrs. Bothe items received in 15 mts. On opening of closed envelop received from delivery man it i... See more

Useful
Share"
trustpilot,"DC
Deceived Customer
Sep 14, 2025

This has been one of the worst shopping experiences I’ve ever had. I ordered dry fruits (Whole farm and grocery brands) and other items from Blinkit, and the quality was absolutely pathetic, the d... See more

Useful
1
Share"
trustpilot,"Sky Light
Dec 20, 2025

Blinkit is a pathetic company with worst customer service. If a customer finds an issue with a product delivered by them, they will NOT resolve it. Instead they will dodge by putting responsibility on... See more

Useful
Share"
trustpilot,"Yogi Sharma
IN
•
1 review
Jul 19, 2026
Very disappointed after sales service

Very disappointed after sales service. I received tata tea damaged packet i complaint immediately they ask for photo or video i sent video of damaged packet and they replied you can receive your refund in 4-5 working days. Till today after 15 days gone i not received my refund even i reposted my complaint 6-7 times there are no voice call number. I was regular customer after this incident i stopped. Never use blinkit very bad service

July 4, 2026
Unprompted review
Useful
Share"
trustpilot,"HS
Hithu singh
IN
•
1 review
Apr 5, 2026
disappointing service from 1st order…

disappointing service from 1st order from blinkit,don't connect customer support always,email the issue but customer support don't have understanding .. disappointing service and unacceptable items delivered..worst taking shipping charges and extra charges but delivered expired product! disappointing experience, they delivered bad kinder joy which have no expired date mentioned on it and when I connected customer service via mal they don't understand and give excuses about 50-60times.very bad..

April 2, 2026
Unprompted review
Useful
Share"
